ds,holiday,country,year
1995-01-01,Ano nuevo,ES,1995
1995-01-06,Epifania del Senor,ES,1995
1995-04-14,Viernes Santo,ES,1995
1995-05-01,Dia del Trabajador,ES,1995
1995-08-15,Asuncion de la Virgen,ES,1995
1995-10-12,Dia de la Hispanidad,ES,1995
1995-11-01,Todos los Santos,ES,1995
1995-12-06,Dia de la constitucion Espanola,ES,1995
1995-12-08,La Inmaculada Concepcion,ES,1995
1995-12-25,Navidad,ES,1995
1996-01-01,Ano nuevo,ES,1996
1996-01-06,Epifania del Senor,ES,1996
1996-04-05,Viernes Santo,ES,1996
1996-05-01,Dia del Trabajador,ES,1996
1996-08-15,Asuncion de la Virgen,ES,1996
1996-10-12,Dia de la Hispanidad,ES,1996
1996-11-01,Todos los Santos,ES,1996
1996-12-06,Dia de la constitucion Espanola,ES,1996
1996-12-08,La Inmaculada Concepcion,ES,1996
1996-12-25,Navidad,ES,1996
1997-01-01,Ano nuevo,ES,1997
1997-01-06,Epifania del Senor,ES,1997
1997-03-28,Viernes Santo,ES,1997
1997-05-01,Dia del Trabajador,ES,1997
1997-08-15,Asuncion de la Virgen,ES,1997
1997-10-12,Dia de la Hispanidad,ES,1997
1997-11-01,Todos los Santos,ES,1997
1997-12-06,Dia de la constitucion Espanola,ES,1997
1997-12-08,La Inmaculada Concepcion,ES,1997
1997-12-25,Navidad,ES,1997
1998-01-01,Ano nuevo,ES,1998
1998-01-06,Epifania del Senor,ES,1998
1998-04-10,Viernes Santo,ES,1998
1998-05-01,Dia del Trabajador,ES,1998
1998-08-15,Asuncion de la Virgen,ES,1998
1998-10-12,Dia de la Hispanidad,ES,1998
1998-11-01,Todos los Santos,ES,1998
1998-12-06,Dia de la constitucion Espanola,ES,1998
1998-12-08,La Inmaculada Concepcion,ES,1998
1998-12-25,Navidad,ES,1998
1999-01-01,Ano nuevo,ES,1999
1999-01-06,Epifania del Senor,ES,1999
1999-04-02,Viernes Santo,ES,1999
1999-05-01,Dia del Trabajador,ES,1999
1999-08-15,Asuncion de la Virgen,ES,1999
1999-10-12,Dia de la Hispanidad,ES,1999
1999-11-01,Todos los Santos,ES,1999
1999-12-06,Dia de la constitucion Espanola,ES,1999
1999-12-08,La Inmaculada Concepcion,ES,1999
1999-12-25,Navidad,ES,1999
2000-01-01,Ano nuevo,ES,2000
2000-01-06,Epifania del Senor,ES,2000
2000-04-21,Viernes Santo,ES,2000
2000-05-01,Dia del Trabajador,ES,2000
2000-08-15,Asuncion de la Virgen,ES,2000
2000-10-12,Dia de la Hispanidad,ES,2000
2000-11-01,Todos los Santos,ES,2000
2000-12-06,Dia de la constitucion Espanola,ES,2000
2000-12-08,La Inmaculada Concepcion,ES,2000
2000-12-25,Navidad,ES,2000
2001-01-01,Ano nuevo,ES,2001
2001-01-06,Epifania del Senor,ES,2001
2001-04-13,Viernes Santo,ES,2001
2001-05-01,Dia del Trabajador,ES,2001
2001-08-15,Asuncion de la Virgen,ES,2001
2001-10-12,Dia de la Hispanidad,ES,2001
2001-11-01,Todos los Santos,ES,2001
2001-12-06,Dia de la constitucion Espanola,ES,2001
2001-12-08,La Inmaculada Concepcion,ES,2001
2001-12-25,Navidad,ES,2001
2002-01-01,Ano nuevo,ES,2002
2002-01-06,Epifania del Senor,ES,2002
2002-03-29,Viernes Santo,ES,2002
2002-05-01,Dia del Trabajador,ES,2002
2002-08-15,Asuncion de la Virgen,ES,2002
2002-10-12,Dia de la Hispanidad,ES,2002
2002-11-01,Todos los Santos,ES,2002
2002-12-06,Dia de la constitucion Espanola,ES,2002
2002-12-08,La Inmaculada Concepcion,ES,2002
2002-12-25,Navidad,ES,2002
2003-01-01,Ano nuevo,ES,2003
2003-01-06,Epifania del Senor,ES,2003
2003-04-18,Viernes Santo,ES,2003
2003-05-01,Dia del Trabajador,ES,2003
2003-08-15,Asuncion de la Virgen,ES,2003
2003-10-12,Dia de la Hispanidad,ES,2003
2003-11-01,Todos los Santos,ES,2003
2003-12-06,Dia de la constitucion Espanola,ES,2003
2003-12-08,La Inmaculada Concepcion,ES,2003
2003-12-25,Navidad,ES,2003
2004-01-01,Ano nuevo,ES,2004
2004-01-06,Epifania del Senor,ES,2004
2004-04-09,Viernes Santo,ES,2004
2004-05-01,Dia del Trabajador,ES,2004
2004-08-15,Asuncion de la Virgen,ES,2004
2004-10-12,Dia de la Hispanidad,ES,2004
2004-11-01,Todos los Santos,ES,2004
2004-12-06,Dia de la constitucion Espanola,ES,2004
2004-12-08,La Inmaculada Concepcion,ES,2004
2004-12-25,Navidad,ES,2004
2005-01-01,Ano nuevo,ES,2005
2005-01-06,Epifania del Senor,ES,2005
2005-03-25,Viernes Santo,ES,2005
2005-05-01,Dia del Trabajador,ES,2005
2005-08-15,Asuncion de la Virgen,ES,2005
2005-10-12,Dia de la Hispanidad,ES,2005
2005-11-01,Todos los Santos,ES,2005
2005-12-06,Dia de la constitucion Espanola,ES,2005
2005-12-08,La Inmaculada Concepcion,ES,2005
2005-12-25,Navidad,ES,2005
2006-01-01,Ano nuevo,ES,2006
2006-01-06,Epifania del Senor,ES,2006
2006-04-14,Viernes Santo,ES,2006
2006-05-01,Dia del Trabajador,ES,2006
2006-08-15,Asuncion de la Virgen,ES,2006
2006-10-12,Dia de la Hispanidad,ES,2006
2006-11-01,Todos los Santos,ES,2006
2006-12-06,Dia de la constitucion Espanola,ES,2006
2006-12-08,La Inmaculada Concepcion,ES,2006
2006-12-25,Navidad,ES,2006
2007-01-01,Ano nuevo,ES,2007
2007-01-06,Epifania del Senor,ES,2007
2007-04-06,Viernes Santo,ES,2007
2007-05-01,Dia del Trabajador,ES,2007
2007-08-15,Asuncion de la Virgen,ES,2007
2007-10-12,Dia de la Hispanidad,ES,2007
2007-11-01,Todos los Santos,ES,2007
2007-12-06,Dia de la constitucion Espanola,ES,2007
2007-12-08,La Inmaculada Concepcion,ES,2007
2007-12-25,Navidad,ES,2007
2008-01-01,Ano nuevo,ES,2008
2008-01-06,Epifania del Senor,ES,2008
2008-03-21,Viernes Santo,ES,2008
2008-05-01,Dia del Trabajador,ES,2008
2008-08-15,Asuncion de la Virgen,ES,2008
2008-10-12,Dia de la Hispanidad,ES,2008
2008-11-01,Todos los Santos,ES,2008
2008-12-06,Dia de la constitucion Espanola,ES,2008
2008-12-08,La Inmaculada Concepcion,ES,2008
2008-12-25,Navidad,ES,2008
2009-01-01,Ano nuevo,ES,2009
2009-01-06,Epifania del Senor,ES,2009
2009-04-10,Viernes Santo,ES,2009
2009-05-01,Dia del Trabajador,ES,2009
2009-08-15,Asuncion de la Virgen,ES,2009
2009-10-12,Dia de la Hispanidad,ES,2009
2009-11-01,Todos los Santos,ES,2009
2009-12-06,Dia de la constitucion Espanola,ES,2009
2009-12-08,La Inmaculada Concepcion,ES,2009
2009-12-25,Navidad,ES,2009
2010-01-01,Ano nuevo,ES,2010
2010-01-06,Epifania del Senor,ES,2010
2010-04-02,Viernes Santo,ES,2010
2010-05-01,Dia del Trabajador,ES,2010
2010-08-15,Asuncion de la Virgen,ES,2010
2010-10-12,Dia de la Hispanidad,ES,2010
2010-11-01,Todos los Santos,ES,2010
2010-12-06,Dia de la constitucion Espanola,ES,2010
2010-12-08,La Inmaculada Concepcion,ES,2010
2010-12-25,Navidad,ES,2010
2011-01-01,Ano nuevo,ES,2011
2011-01-06,Epifania del Senor,ES,2011
2011-04-22,Viernes Santo,ES,2011
2011-05-01,Dia del Trabajador,ES,2011
2011-08-15,Asuncion de la Virgen,ES,2011
2011-10-12,Dia de la Hispanidad,ES,2011
2011-11-01,Todos los Santos,ES,2011
2011-12-06,Dia de la constitucion Espanola,ES,2011
2011-12-08,La Inmaculada Concepcion,ES,2011
2011-12-25,Navidad,ES,2011
2012-01-01,Ano nuevo,ES,2012
2012-01-06,Epifania del Senor,ES,2012
2012-04-06,Viernes Santo,ES,2012
2012-05-01,Dia del Trabajador,ES,2012
2012-08-15,Asuncion de la Virgen,ES,2012
2012-10-12,Dia de la Hispanidad,ES,2012
2012-11-01,Todos los Santos,ES,2012
2012-12-06,Dia de la constitucion Espanola,ES,2012
2012-12-08,La Inmaculada Concepcion,ES,2012
2012-12-25,Navidad,ES,2012
2013-01-01,Ano nuevo,ES,2013
2013-01-06,Epifania del Senor,ES,2013
2013-03-29,Viernes Santo,ES,2013
2013-05-01,Dia del Trabajador,ES,2013
2013-08-15,Asuncion de la Virgen,ES,2013
2013-10-12,Dia de la Hispanidad,ES,2013
2013-11-01,Todos los Santos,ES,2013
2013-12-06,Dia de la constitucion Espanola,ES,2013
2013-12-08,La Inmaculada Concepcion,ES,2013
2013-12-25,Navidad,ES,2013
2014-01-01,Ano nuevo,ES,2014
2014-01-06,Epifania del Senor,ES,2014
2014-04-18,Viernes Santo,ES,2014
2014-05-01,Dia del Trabajador,ES,2014
2014-08-15,Asuncion de la Virgen,ES,2014
2014-10-12,Dia de la Hispanidad,ES,2014
2014-11-01,Todos los Santos,ES,2014
2014-12-06,Dia de la constitucion Espanola,ES,2014
2014-12-08,La Inmaculada Concepcion,ES,2014
2014-12-25,Navidad,ES,2014
2015-01-01,Ano nuevo,ES,2015
2015-01-06,Epifania del Senor,ES,2015
2015-04-03,Viernes Santo,ES,2015
2015-05-01,Dia del Trabajador,ES,2015
2015-08-15,Asuncion de la Virgen,ES,2015
2015-10-12,Dia de la Hispanidad,ES,2015
2015-11-01,Todos los Santos,ES,2015
2015-12-06,Dia de la constitucion Espanola,ES,2015
2015-12-08,La Inmaculada Concepcion,ES,2015
2015-12-25,Navidad,ES,2015
2016-01-01,Ano nuevo,ES,2016
2016-01-06,Epifania del Senor,ES,2016
2016-03-25,Viernes Santo,ES,2016
2016-05-01,Dia del Trabajador,ES,2016
2016-08-15,Asuncion de la Virgen,ES,2016
2016-10-12,Dia de la Hispanidad,ES,2016
2016-11-01,Todos los Santos,ES,2016
2016-12-06,Dia de la constitucion Espanola,ES,2016
2016-12-08,La Inmaculada Concepcion,ES,2016
2016-12-25,Navidad,ES,2016
2017-01-01,Ano nuevo,ES,2017
2017-01-06,Epifania del Senor,ES,2017
2017-04-14,Viernes Santo,ES,2017
2017-05-01,Dia del Trabajador,ES,2017
2017-08-15,Asuncion de la Virgen,ES,2017
2017-10-12,Dia de la Hispanidad,ES,2017
2017-11-01,Todos los Santos,ES,2017
2017-12-06,Dia de la constitucion Espanola,ES,2017
2017-12-08,La Inmaculada Concepcion,ES,2017
2017-12-25,Navidad,ES,2017
2018-01-01,Ano nuevo,ES,2018
2018-01-06,Epifania del Senor,ES,2018
2018-03-30,Viernes Santo,ES,2018
2018-05-01,Dia del Trabajador,ES,2018
2018-08-15,Asuncion de la Virgen,ES,2018
2018-10-12,Dia de la Hispanidad,ES,2018
2018-11-01,Todos los Santos,ES,2018
2018-12-06,Dia de la constitucion Espanola,ES,2018
2018-12-08,La Inmaculada Concepcion,ES,2018
2018-12-25,Navidad,ES,2018
2019-01-01,Ano nuevo,ES,2019
2019-01-06,Epifania del Senor,ES,2019
2019-04-19,Viernes Santo,ES,2019
2019-05-01,Dia del Trabajador,ES,2019
2019-08-15,Asuncion de la Virgen,ES,2019
2019-10-12,Dia de la Hispanidad,ES,2019
2019-11-01,Todos los Santos,ES,2019
2019-12-06,Dia de la constitucion Espanola,ES,2019
2019-12-08,La Inmaculada Concepcion,ES,2019
2019-12-25,Navidad,ES,2019
2020-01-01,Ano nuevo,ES,2020
2020-01-06,Epifania del Senor,ES,2020
2020-04-10,Viernes Santo,ES,2020
2020-05-01,Dia del Trabajador,ES,2020
2020-08-15,Asuncion de la Virgen,ES,2020
2020-10-12,Dia de la Hispanidad,ES,2020
2020-11-01,Todos los Santos,ES,2020
2020-12-06,Dia de la constitucion Espanola,ES,2020
2020-12-08,La Inmaculada Concepcion,ES,2020
2020-12-25,Navidad,ES,2020
2021-01-01,Ano nuevo,ES,2021
2021-01-06,Epifania del Senor,ES,2021
2021-04-02,Viernes Santo,ES,2021
2021-05-01,Dia del Trabajador,ES,2021
2021-08-15,Asuncion de la Virgen,ES,2021
2021-10-12,Dia de la Hispanidad,ES,2021
2021-11-01,Todos los Santos,ES,2021
2021-12-06,Dia de la constitucion Espanola,ES,2021
2021-12-08,La Inmaculada Concepcion,ES,2021
2021-12-25,Navidad,ES,2021
2022-01-01,Ano nuevo,ES,2022
2022-01-06,Epifania del Senor,ES,2022
2022-04-15,Viernes Santo,ES,2022
2022-05-01,Dia del Trabajador,ES,2022
2022-08-15,Asuncion de la Virgen,ES,2022
2022-10-12,Dia de la Hispanidad,ES,2022
2022-11-01,Todos los Santos,ES,2022
2022-12-06,Dia de la constitucion Espanola,ES,2022
2022-12-08,La Inmaculada Concepcion,ES,2022
2022-12-25,Navidad,ES,2022
2023-01-01,Ano nuevo,ES,2023
2023-01-06,Epifania del Senor,ES,2023
2023-04-07,Viernes Santo,ES,2023
2023-05-01,Dia del Trabajador,ES,2023
2023-08-15,Asuncion de la Virgen,ES,2023
2023-10-12,Dia de la Hispanidad,ES,2023
2023-11-01,Todos los Santos,ES,2023
2023-12-06,Dia de la constitucion Espanola,ES,2023
2023-12-08,La Inmaculada Concepcion,ES,2023
2023-12-25,Navidad,ES,2023
2024-01-01,Ano nuevo,ES,2024
2024-01-06,Epifania del Senor,ES,2024
2024-03-29,Viernes Santo,ES,2024
2024-05-01,Dia del Trabajador,ES,2024
2024-08-15,Asuncion de la Virgen,ES,2024
2024-10-12,Dia de la Hispanidad,ES,2024
2024-11-01,Todos los Santos,ES,2024
2024-12-06,Dia de la constitucion Espanola,ES,2024
2024-12-08,La Inmaculada Concepcion,ES,2024
2024-12-25,Navidad,ES,2024
2025-01-01,Ano nuevo,ES,2025
2025-01-06,Epifania del Senor,ES,2025
2025-04-18,Viernes Santo,ES,2025
2025-05-01,Dia del Trabajador,ES,2025
2025-08-15,Asuncion de la Virgen,ES,2025
2025-10-12,Dia de la Hispanidad,ES,2025
2025-11-01,Todos los Santos,ES,2025
2025-12-06,Dia de la constitucion Espanola,ES,2025
2025-12-08,La Inmaculada Concepcion,ES,2025
2025-12-25,Navidad,ES,2025
2026-01-01,Ano nuevo,ES,2026
2026-01-06,Epifania del Senor,ES,2026
2026-04-03,Viernes Santo,ES,2026
2026-05-01,Dia del Trabajador,ES,2026
2026-08-15,Asuncion de la Virgen,ES,2026
2026-10-12,Dia de la Hispanidad,ES,2026
2026-11-01,Todos los Santos,ES,2026
2026-12-06,Dia de la constitucion Espanola,ES,2026
2026-12-08,La Inmaculada Concepcion,ES,2026
2026-12-25,Navidad,ES,2026
2027-01-01,Ano nuevo,ES,2027
2027-01-06,Epifania del Senor,ES,2027
2027-03-26,Viernes Santo,ES,2027
2027-05-01,Dia del Trabajador,ES,2027
2027-08-15,Asuncion de la Virgen,ES,2027
2027-10-12,Dia de la Hispanidad,ES,2027
2027-11-01,Todos los Santos,ES,2027
2027-12-06,Dia de la constitucion Espanola,ES,2027
2027-12-08,La Inmaculada Concepcion,ES,2027
2027-12-25,Navidad,ES,2027
2028-01-01,Ano nuevo,ES,2028
2028-01-06,Epifania del Senor,ES,2028
2028-04-14,Viernes Santo,ES,2028
2028-05-01,Dia del Trabajador,ES,2028
2028-08-15,Asuncion de la Virgen,ES,2028
2028-10-12,Dia de la Hispanidad,ES,2028
2028-11-01,Todos los Santos,ES,2028
2028-12-06,Dia de la constitucion Espanola,ES,2028
2028-12-08,La Inmaculada Concepcion,ES,2028
2028-12-25,Navidad,ES,2028
2029-01-01,Ano nuevo,ES,2029
2029-01-06,Epifania del Senor,ES,2029
2029-03-30,Viernes Santo,ES,2029
2029-05-01,Dia del Trabajador,ES,2029
2029-08-15,Asuncion de la Virgen,ES,2029
2029-10-12,Dia de la Hispanidad,ES,2029
2029-11-01,Todos los Santos,ES,2029
2029-12-06,Dia de la constitucion Espanola,ES,2029
2029-12-08,La Inmaculada Concepcion,ES,2029
2029-12-25,Navidad,ES,2029
2030-01-01,Ano nuevo,ES,2030
2030-01-06,Epifania del Senor,ES,2030
2030-04-19,Viernes Santo,ES,2030
2030-05-01,Dia del Trabajador,ES,2030
2030-08-15,Asuncion de la Virgen,ES,2030
2030-10-12,Dia de la Hispanidad,ES,2030
2030-11-01,Todos los Santos,ES,2030
2030-12-06,Dia de la constitucion Espanola,ES,2030
2030-12-08,La Inmaculada Concepcion,ES,2030
2030-12-25,Navidad,ES,2030
2031-01-01,Ano nuevo,ES,2031
2031-01-06,Epifania del Senor,ES,2031
2031-04-11,Viernes Santo,ES,2031
2031-05-01,Dia del Trabajador,ES,2031
2031-08-15,Asuncion de la Virgen,ES,2031
2031-10-12,Dia de la Hispanidad,ES,2031
2031-11-01,Todos los Santos,ES,2031
2031-12-06,Dia de la constitucion Espanola,ES,2031
2031-12-08,La Inmaculada Concepcion,ES,2031
2031-12-25,Navidad,ES,2031
2032-01-01,Ano nuevo,ES,2032
2032-01-06,Epifania del Senor,ES,2032
2032-03-26,Viernes Santo,ES,2032
2032-05-01,Dia del Trabajador,ES,2032
2032-08-15,Asuncion de la Virgen,ES,2032
2032-10-12,Dia de la Hispanidad,ES,2032
2032-11-01,Todos los Santos,ES,2032
2032-12-06,Dia de la constitucion Espanola,ES,2032
2032-12-08,La Inmaculada Concepcion,ES,2032
2032-12-25,Navidad,ES,2032
2033-01-01,Ano nuevo,ES,2033
2033-01-06,Epifania del Senor,ES,2033
2033-04-15,Viernes Santo,ES,2033
2033-05-01,Dia del Trabajador,ES,2033
2033-08-15,Asuncion de la Virgen,ES,2033
2033-10-12,Dia de la Hispanidad,ES,2033
2033-11-01,Todos los Santos,ES,2033
2033-12-06,Dia de la constitucion Espanola,ES,2033
2033-12-08,La Inmaculada Concepcion,ES,2033
2033-12-25,Navidad,ES,2033
2034-01-01,Ano nuevo,ES,2034
2034-01-06,Epifania del Senor,ES,2034
2034-04-07,Viernes Santo,ES,2034
2034-05-01,Dia del Trabajador,ES,2034
2034-08-15,Asuncion de la Virgen,ES,2034
2034-10-12,Dia de la Hispanidad,ES,2034
2034-11-01,Todos los Santos,ES,2034
2034-12-06,Dia de la constitucion Espanola,ES,2034
2034-12-08,La Inmaculada Concepcion,ES,2034
2034-12-25,Navidad,ES,2034
2035-01-01,Ano nuevo,ES,2035
2035-01-06,Epifania del Senor,ES,2035
2035-03-23,Viernes Santo,ES,2035
2035-05-01,Dia del Trabajador,ES,2035
2035-08-15,Asuncion de la Virgen,ES,2035
2035-10-12,Dia de la Hispanidad,ES,2035
2035-11-01,Todos los Santos,ES,2035
2035-12-06,Dia de la constitucion Espanola,ES,2035
2035-12-08,La Inmaculada Concepcion,ES,2035
2035-12-25,Navidad,ES,2035
2036-01-01,Ano nuevo,ES,2036
2036-01-06,Epifania del Senor,ES,2036
2036-04-11,Viernes Santo,ES,2036
2036-05-01,Dia del Trabajador,ES,2036
2036-08-15,Asuncion de la Virgen,ES,2036
2036-10-12,Dia de la Hispanidad,ES,2036
2036-11-01,Todos los Santos,ES,2036
2036-12-06,Dia de la constitucion Espanola,ES,2036
2036-12-08,La Inmaculada Concepcion,ES,2036
2036-12-25,Navidad,ES,2036
2037-01-01,Ano nuevo,ES,2037
2037-01-06,Epifania del Senor,ES,2037
2037-04-03,Viernes Santo,ES,2037
2037-05-01,Dia del Trabajador,ES,2037
2037-08-15,Asuncion de la Virgen,ES,2037
2037-10-12,Dia de la Hispanidad,ES,2037
2037-11-01,Todos los Santos,ES,2037
2037-12-06,Dia de la constitucion Espanola,ES,2037
2037-12-08,La Inmaculada Concepcion,ES,2037
2037-12-25,Navidad,ES,2037
2038-01-01,Ano nuevo,ES,2038
2038-01-06,Epifania del Senor,ES,2038
2038-04-23,Viernes Santo,ES,2038
2038-05-01,Dia del Trabajador,ES,2038
2038-08-15,Asuncion de la Virgen,ES,2038
2038-10-12,Dia de la Hispanidad,ES,2038
2038-11-01,Todos los Santos,ES,2038
2038-12-06,Dia de la constitucion Espanola,ES,2038
2038-12-08,La Inmaculada Concepcion,ES,2038
2038-12-25,Navidad,ES,2038
2039-01-01,Ano nuevo,ES,2039
2039-01-06,Epifania del Senor,ES,2039
2039-04-08,Viernes Santo,ES,2039
2039-05-01,Dia del Trabajador,ES,2039
2039-08-15,Asuncion de la Virgen,ES,2039
2039-10-12,Dia de la Hispanidad,ES,2039
2039-11-01,Todos los Santos,ES,2039
2039-12-06,Dia de la constitucion Espanola,ES,2039
2039-12-08,La Inmaculada Concepcion,ES,2039
2039-12-25,Navidad,ES,2039
2040-01-01,Ano nuevo,ES,2040
2040-01-06,Epifania del Senor,ES,2040
2040-03-30,Viernes Santo,ES,2040
2040-05-01,Dia del Trabajador,ES,2040
2040-08-15,Asuncion de la Virgen,ES,2040
2040-10-12,Dia de la Hispanidad,ES,2040
2040-11-01,Todos los Santos,ES,2040
2040-12-06,Dia de la constitucion Espanola,ES,2040
2040-12-08,La Inmaculada Concepcion,ES,2040
2040-12-25,Navidad,ES,2040
2041-01-01,Ano nuevo,ES,2041
2041-01-06,Epifania del Senor,ES,2041
2041-04-19,Viernes Santo,ES,2041
2041-05-01,Dia del Trabajador,ES,2041
2041-08-15,Asuncion de la Virgen,ES,2041
2041-10-12,Dia de la Hispanidad,ES,2041
2041-11-01,Todos los Santos,ES,2041
2041-12-06,Dia de la constitucion Espanola,ES,2041
2041-12-08,La Inmaculada Concepcion,ES,2041
2041-12-25,Navidad,ES,2041
2042-01-01,Ano nuevo,ES,2042
2042-01-06,Epifania del Senor,ES,2042
2042-04-04,Viernes Santo,ES,2042
2042-05-01,Dia del Trabajador,ES,2042
2042-08-15,Asuncion de la Virgen,ES,2042
2042-10-12,Dia de la Hispanidad,ES,2042
2042-11-01,Todos los Santos,ES,2042
2042-12-06,Dia de la constitucion Espanola,ES,2042
2042-12-08,La Inmaculada Concepcion,ES,2042
2042-12-25,Navidad,ES,2042
2043-01-01,Ano nuevo,ES,2043
2043-01-06,Epifania del Senor,ES,2043
2043-03-27,Viernes Santo,ES,2043
2043-05-01,Dia del Trabajador,ES,2043
2043-08-15,Asuncion de la Virgen,ES,2043
2043-10-12,Dia de la Hispanidad,ES,2043
2043-11-01,Todos los Santos,ES,2043
2043-12-06,Dia de la constitucion Espanola,ES,2043
2043-12-08,La Inmaculada Concepcion,ES,2043
2043-12-25,Navidad,ES,2043
2044-01-01,Ano nuevo,ES,2044
2044-01-06,Epifania del Senor,ES,2044
2044-04-15,Viernes Santo,ES,2044
2044-05-01,Dia del Trabajador,ES,2044
2044-08-15,Asuncion de la Virgen,ES,2044
2044-10-12,Dia de la Hispanidad,ES,2044
2044-11-01,Todos los Santos,ES,2044
2044-12-06,Dia de la constitucion Espanola,ES,2044
2044-12-08,La Inmaculada Concepcion,ES,2044
2044-12-25,Navidad,ES,2044
